,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,Total_1600,num_of_sat_test_takers,dbn,Boro,District,School_Num,school_name,Zip,Nhood,Med Income,Latitude,Longitude
0,355.0,404.0,363.0,759.0,29,01M292,M,01,292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,10002,Lower East Side,30843,40.713684,-73.986336
1,383.0,423.0,366.0,806.0,91,01M448,M,01,448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,10002,Lower East Side,30843,40.712399,-73.984497
2,377.0,402.0,370.0,779.0,70,01M450,M,01,450,EAST SIDE COMMUNITY SCHOOL,10009,East Village,56615,40.729589,-73.982555
3,414.0,401.0,359.0,815.0,7,01M458,M,01,458,FORSYTH SATELLITE ACADEMY,10002,Chinatown,30843,40.72252,-73.990728
4,390.0,433.0,384.0,823.0,44,01M509,M,01,509,MARTA VALLE HIGH SCHOOL,10002,Chinatown,30843,40.720581,-73.985645
5,332.0,557.0,316.0,889.0,112,01M515,M,01,515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,10002,Chinatown,30843,40.720581,-73.985645
6,522.0,574.0,525.0,1096.0,159,01M539,M,01,539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",10002,Lower East Side,30843,40.718895,-73.979308
7,417.0,418.0,411.0,835.0,18,01M650,M,01,650,CASCADES HIGH SCHOOL,10002,Chinatown,30843,40.72252,-73.990728
8,624.0,604.0,628.0,1228.0,130,01M696,M,01,696,BARD HIGH SCHOOL EARLY COLLEGE,10002,Lower East Side,30843,40.719029,-73.975891
9,395.0,400.0,387.0,795.0,16,02M047,M,02,047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,10010,Gramercy,93702,40.738548,-73.982455
10,409.0,393.0,392.0,802.0,62,02M288,M,02,288,FOOD AND FINANCE HIGH SCHOOL,10019,Clinton,84786,40.765184,-73.992953
11,394.0,384.0,378.0,778.0,53,02M294,M,02,294,ESSEX STREET ACADEMY,10002,Chinatown,30843,40.716778,-73.989337
12,374.0,375.0,362.0,749.0,58,02M296,M,02,296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,10019,Clinton,84786,40.765184,-73.992953
13,423.0,438.0,432.0,861.0,85,02M298,M,02,298,PACE HIGH SCHOOL,10002,Chinatown,30843,40.716553,-73.993092
14,404.0,449.0,416.0,853.0,48,02M300,M,02,300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",10019,Clinton,84786,40.765184,-73.992953
15,353.0,358.0,340.0,711.0,76,02M303,M,02,303,"FACING HISTORY SCHOOL, THE",10019,Clinton,84786,40.765184,-73.992953
16,375.0,388.0,385.0,763.0,50,02M305,M,02,305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",10002,Chinatown,30843,40.716778,-73.989337
17,403.0,392.0,405.0,795.0,40,02M308,M,02,308,LOWER MANHATTAN ARTS ACADEMY,10002,Chinatown,30843,40.716778,-73.989337
18,408.0,390.0,390.0,798.0,69,02M313,M,02,313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",10011,Hudson Yards-Chelsea-Flatiron-Union Square,92359,40.742867,-74.002136
19,373.0,370.0,384.0,743.0,42,02M316,M,02,316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",10004,Battery Park City-Lower Manhattan,110183,40.70568,-74.013302
20,391.0,391.0,394.0,782.0,60,02M374,M,02,374,GRAMERCY ARTS HIGH SCHOOL,10003,Gramercy,89998,40.735494,-73.987659
21,473.0,483.0,479.0,956.0,92,02M376,M,02,376,NYC ISCHOOL,10013,SoHo-TriBeCa-Civic Center-Little Italy,69836,40.7244,-74.004625
22,,,,,s,02M392,M,02,392,MANHATTAN BUSINESS ACADEMY,10011,Hudson Yards-Chelsea-Flatiron-Union Square,92359,40.742867,-74.002136
23,,,,,s,02M393,M,02,393,BUSINESS OF SPORTS SCHOOL,10019,Clinton,84786,40.76337,-73.990593
24,319.0,512.0,357.0,831.0,79,02M394,M,02,394,EMMA LAZARUS HIGH SCHOOL,10002,Chinatown,30843,40.716553,-73.993092
25,,,,,s,02M399,M,02,399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,10003,Gramercy,89998,40.735494,-73.987659
26,465.0,493.0,461.0,958.0,263,02M400,M,02,400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,10019,Clinton,84786,40.767791,-73.987531
27,492.0,465.0,467.0,957.0,54,02M407,M,02,407,INSTITUTE FOR COLLABORATIVE EDUCATION,10003,Gramercy,89998,40.732447,-73.983031
28,509.0,490.0,523.0,999.0,94,02M408,M,02,408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,10036,Clinton,62393,40.761448,-73.988019
29,496.0,563.0,518.0,1059.0,104,02M411,M,02,411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,10010,Hudson Yards-Chelsea-Flatiron-Union Square,93702,40.74193,-73.986521
30,537.0,590.0,550.0,1127.0,114,02M412,M,02,412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,10011,Hudson Yards-Chelsea-Flatiron-Union Square,92359,40.742129,-74.002198
31,517.0,533.0,515.0,1050.0,66,02M413,M,02,413,SCHOOL OF THE FUTURE HIGH SCHOOL,10010,Gramercy,93702,40.738952,-73.985479
32,468.0,492.0,459.0,960.0,103,02M414,M,02,414,N.Y.C. MUSEUM SCHOOL,10011,Hudson Yards-Chelsea-Flatiron-Union Square,92359,40.742129,-74.002198
33,572.0,594.0,592.0,1166.0,127,02M416,M,02,416,ELEANOR ROOSEVELT HIGH SCHOOL,10021,Lenox Hill-Roosevelt Island,113800,40.770187,-73.953608
34,528.0,553.0,533.0,1081.0,144,02M418,M,02,418,MILLENNIUM HIGH SCHOOL,10004,Battery Park City-Lower Manhattan,110183,40.704487,-74.011556
35,390.0,399.0,381.0,789.0,62,02M419,M,02,419,LANDMARK HIGH SCHOOL,10011,Hudson Yards-Chelsea-Flatiron-Union Square,92359,40.742867,-74.002136
36,429.0,449.0,428.0,878.0,336,02M420,M,02,420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,10003,Gramercy,89998,40.732447,-73.983031
37,416.0,426.0,391.0,842.0,84,02M425,M,02,425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,10006,Battery Park City-Lower Manhattan,111220,40.70873,-74.012332
38,,,,,s,02M427,M,02,427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,10016,Murray Hill-Kips Bay,96760,40.746176,-73.981241
39,356.0,357.0,349.0,713.0,29,02M429,M,02,429,LEGACY SCHOOL FOR INTEGRATED STUDIES,-,-,-,-,-
40,,,,,s,02M437,M,02,437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,10011,Hudson Yards-Chelsea-Flatiron-Union Square,92359,40.742867,-74.002136
41,,,,,s,02M438,M,02,438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,10003,Gramercy,89998,40.735494,-73.987659
42,441.0,473.0,458.0,914.0,95,02M439,M,02,439,MANHATTAN VILLAGE ACADEMY,10010,Hudson Yards-Chelsea-Flatiron-Union Square,93702,40.741497,-73.991512
43,378.0,365.0,368.0,743.0,59,02M440,M,02,440,BAYARD RUSTIN EDUCATIONAL COMPLEX,-,-,-,-,-
44,395.0,416.0,388.0,811.0,72,02M449,M,02,449,VANGUARD HIGH SCHOOL,10065,Lenox Hill-Roosevelt Island,108154,40.765359,-73.960059
45,376.0,460.0,391.0,836.0,49,02M459,M,02,459,MANHATTAN INTERNATIONAL HIGH SCHOOL,10065,Lenox Hill-Roosevelt Island,108154,40.765359,-73.960059
46,373.0,387.0,360.0,760.0,151,02M460,M,02,460,WASHINGTON IRVING HIGH SCHOOL,-,-,-,-,-
47,,,,,s,02M473,M,02,473,WASHINGTON IRVING YABC,-,-,-,-,-
48,679.0,735.0,682.0,1414.0,832,02M475,M,02,475,STUYVESANT HIGH SCHOOL,10282,Battery Park City-Lower Manhattan,-,40.71759,-74.013748
49,443.0,489.0,442.0,932.0,167,02M489,M,02,489,HIGH SCHOOL OF ECONOMICS AND FINANCE,10006,Battery Park City-Lower Manhattan,111220,40.709196,-74.012022
50,370.0,349.0,351.0,719.0,25,02M500,M,02,500,UNITY CENTER FOR URBAN TECHNOLOGIES,10016,Murray Hill-Kips Bay,96760,40.746176,-73.981241
51,469.0,472.0,475.0,941.0,81,02M519,M,02,519,TALENT UNLIMITED HIGH SCHOOL,10065,Lenox Hill-Roosevelt Island,108154,40.765359,-73.960059
52,407.0,440.0,393.0,847.0,264,02M520,M,02,520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,10038,Chinatown,55937,40.711442,-74.000851
53,414.0,425.0,400.0,839.0,131,02M529,M,02,529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,10036,Midtown-Midtown South,62393,40.757729,-73.983078
54,429.0,404.0,420.0,833.0,42,02M531,M,02,531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,10036,Midtown-Midtown South,62393,40.755843,-73.984382
55,336.0,378.0,344.0,714.0,66,02M542,M,02,542,MANHATTAN BRIDGES HIGH SCHOOL,10019,Clinton,84786,40.765184,-73.992953
56,391.0,395.0,382.0,786.0,73,02M543,M,02,543,NEW DESIGN HIGH SCHOOL,10002,Chinatown,30843,40.716778,-73.989337
